Date,Open,High,Low,Close,Adj Close,Volume
2012-08-29,91.620003,91.639999,91.620003,91.620003,82.061569,72350
2012-08-30,91.639999,91.639999,91.620003,91.620003,82.061569,137300
2012-08-31,91.620003,91.639999,91.620003,91.620003,82.061569,183450
2012-09-04,91.620003,91.639999,91.620003,91.620003,82.061569,122850
2012-09-05,91.639999,91.639999,91.620003,91.639999,82.079483,357800
2012-09-06,91.620003,91.639999,91.620003,91.639999,82.079483,133550
2012-09-07,91.620003,91.639999,91.620003,91.620003,82.061569,580850
2012-09-10,91.620003,91.639999,91.620003,91.620003,82.061569,430700
2012-09-11,91.639999,91.639999,91.620003,91.620003,82.061569,49900
2012-09-12,91.620003,91.639999,91.620003,91.620003,82.061569,192750
2012-09-13,91.620003,91.639999,91.620003,91.620003,82.061569,553050
2012-09-14,91.620003,91.639999,91.620003,91.620003,82.061569,97100
2012-09-17,91.620003,91.639999,91.620003,91.620003,82.061569,141700
2012-09-18,91.639999,91.639999,91.620003,91.620003,82.061569,1879300
2012-09-19,91.620003,91.639999,91.620003,91.620003,82.061569,178100
2012-09-20,91.620003,91.639999,91.620003,91.620003,82.061569,229500
2012-09-21,91.620003,91.639999,91.620003,91.620003,82.061569,1148750
2012-09-24,91.639999,91.639999,91.620003,91.620003,82.061569,123950
2012-09-25,91.620003,91.639999,91.620003,91.620003,82.061569,276650
2012-09-26,91.620003,91.639999,91.620003,91.620003,82.061569,150900
2012-09-27,91.620003,91.639999,91.620003,91.639999,82.079483,138000
2012-09-28,91.639999,91.639999,91.620003,91.620003,82.061569,165650
2012-10-01,91.620003,91.639999,91.620003,91.620003,82.061569,165100
2012-10-02,91.620003,91.639999,91.620003,91.639999,82.079483,92950
2012-10-03,91.620003,91.639999,91.620003,91.620003,82.061569,138500
2012-10-04,91.620003,91.639999,91.620003,91.620003,82.061569,738550
2012-10-05,91.639999,91.639999,91.620003,91.620003,82.061569,541650
2012-10-08,91.639999,91.639999,91.620003,91.620003,82.061569,273800
2012-10-09,91.620003,91.639999,91.620003,91.620003,82.061569,287450
2012-10-10,91.620003,91.639999,91.620003,91.639999,82.079483,253600
2012-10-11,91.620003,91.639999,91.620003,91.639999,82.079483,69900
2012-10-12,91.639999,91.639999,91.620003,91.620003,82.061569,189650
2012-10-15,91.620003,91.639999,91.620003,91.639999,82.079483,131800
2012-10-16,91.620003,91.639999,91.620003,91.620003,82.061569,134800
2012-10-17,91.620003,91.639999,91.620003,91.639999,82.079483,48650
2012-10-18,91.620003,91.639999,91.620003,91.620003,82.061569,97000
2012-10-19,91.639999,91.639999,91.620003,91.620003,82.061569,199500
2012-10-22,91.620003,91.639999,91.620003,91.620003,82.061569,78600
2012-10-23,91.639999,91.639999,91.620003,91.639999,82.079483,965650
2012-10-24,91.620003,91.639999,91.620003,91.639999,82.079483,183450
2012-10-25,91.620003,91.639999,91.620003,91.620003,82.061569,223350
2012-10-26,91.639999,91.639999,91.620003,91.620003,82.061569,45600
2012-10-31,91.620003,91.639999,91.620003,91.639999,82.079483,395350
2012-11-01,91.639999,91.639999,91.620003,91.639999,82.079483,66550
2012-11-02,91.639999,91.639999,91.620003,91.639999,82.079483,378400
2012-11-05,91.620003,91.639999,91.620003,91.620003,82.061569,528000
2012-11-06,91.620003,91.639999,91.620003,91.620003,82.061569,106500
2012-11-07,91.620003,91.639999,91.620003,91.639999,82.079483,1984650
2012-11-08,91.639999,91.639999,91.620003,91.639999,82.079483,452750
2012-11-09,91.620003,91.639999,91.620003,91.639999,82.079483,1463250
2012-11-12,91.639999,91.639999,91.620003,91.639999,82.079483,376650
2012-11-13,91.620003,91.639999,91.620003,91.639999,82.079483,2435000
2012-11-14,91.620003,91.639999,91.620003,91.639999,82.079483,312900
2012-11-15,91.620003,91.639999,91.620003,91.639999,82.079483,304450
2012-11-16,91.620003,91.639999,91.620003,91.639999,82.079483,148600
2012-11-19,91.620003,91.639999,91.620003,91.639999,82.079483,133650
2012-11-20,91.620003,91.639999,91.620003,91.620003,82.061569,64900
2012-11-21,91.620003,91.639999,91.620003,91.620003,82.061569,69800
2012-11-23,91.620003,91.639999,91.620003,91.620003,82.061569,52900
2012-11-26,91.620003,91.639999,91.620003,91.620003,82.061569,594700
2012-11-27,91.620003,91.639999,91.620003,91.620003,82.061569,213150
2012-11-28,91.620003,91.639999,91.620003,91.620003,82.061569,63950
2012-11-29,91.620003,91.639999,91.620003,91.620003,82.061569,1176750
2012-11-30,91.639999,91.639999,91.620003,91.620003,82.061569,701350
2012-12-03,91.620003,91.639999,91.620003,91.620003,82.061569,694000
2012-12-04,91.639999,91.639999,91.620003,91.620003,82.061569,217150
2012-12-05,91.620003,91.639999,91.620003,91.620003,82.061569,141750
2012-12-06,91.620003,91.639999,91.620003,91.620003,82.061569,137200
2012-12-07,91.620003,91.639999,91.620003,91.620003,82.061569,376400
2012-12-10,91.620003,91.639999,91.620003,91.620003,82.061569,356500
2012-12-11,91.620003,91.639999,91.620003,91.620003,82.061569,308800
2012-12-12,91.620003,91.639999,91.620003,91.620003,82.061569,269950
2012-12-13,91.620003,91.639999,91.620003,91.620003,82.061569,151700
2012-12-14,91.639999,91.639999,91.620003,91.620003,82.061569,163350
2012-12-17,91.620003,91.639999,91.620003,91.620003,82.061569,665300
2012-12-18,91.620003,91.639999,91.620003,91.639999,82.079483,254200
2012-12-19,91.620003,91.639999,91.620003,91.620003,82.061569,150550
2012-12-20,91.620003,91.639999,91.620003,91.620003,82.061569,189600
2012-12-21,91.620003,91.639999,91.620003,91.620003,82.061569,153400
2012-12-24,91.639999,91.639999,91.620003,91.620003,82.061569,107450
2012-12-26,91.620003,91.639999,91.620003,91.620003,82.061569,85000
2012-12-27,91.639999,91.639999,91.620003,91.620003,82.061569,62100
2012-12-28,91.620003,91.639999,91.620003,91.639999,82.079483,213250
2012-12-31,91.639999,91.639999,91.620003,91.620003,82.061569,373700
2013-01-02,91.620003,91.639999,91.620003,91.620003,82.061569,1277900
2013-01-03,91.639999,91.639999,91.620003,91.620003,82.061569,294500
2013-01-04,91.620003,91.639999,91.620003,91.639999,82.079483,192700
2013-01-07,91.599998,91.620003,91.599998,91.599998,82.043625,179650
2013-01-08,91.620003,91.620003,91.599998,91.599998,82.043625,106650
2013-01-09,91.599998,91.620003,91.599998,91.599998,82.043625,197400
2013-01-10,91.599998,91.620003,91.599998,91.599998,82.043625,81100
2013-01-11,91.620003,91.620003,91.599998,91.599998,82.043625,58750
2013-01-14,91.620003,91.620003,91.599998,91.599998,82.043625,87250
2013-01-15,91.599998,91.620003,91.599998,91.599998,82.043625,72400
2013-01-16,91.599998,91.620003,91.599998,91.599998,82.043625,417550
2013-01-17,91.599998,91.620003,91.599998,91.620003,82.061569,739550
2013-01-18,91.620003,91.620003,91.599998,91.599998,82.043625,279400
2013-01-22,91.599998,91.620003,91.599998,91.599998,82.043625,139500
2013-01-23,91.599998,91.620003,91.599998,91.599998,82.043625,150250
2013-01-24,91.599998,91.620003,91.599998,91.620003,82.061569,2557850
2013-01-25,91.599998,91.620003,91.599998,91.599998,82.043625,188800
2013-01-28,91.599998,91.620003,91.599998,91.599998,82.043625,285500
2013-01-29,91.620003,91.620003,91.599998,91.599998,82.043625,85300
2013-01-30,91.599998,91.620003,91.599998,91.599998,82.043625,160750
2013-01-31,91.620003,91.620003,91.599998,91.620003,82.061569,168450
2013-02-01,91.599998,91.620003,91.599998,91.599998,82.043625,171650
2013-02-04,91.599998,91.620003,91.599998,91.599998,82.043625,112550
2013-02-05,91.599998,91.620003,91.599998,91.620003,82.061569,165500
2013-02-06,91.620003,91.620003,91.599998,91.620003,82.061569,282550
2013-02-07,91.599998,91.620003,91.599998,91.620003,82.061569,50900
2013-02-08,91.620003,91.620003,91.599998,91.620003,82.061569,579750
2013-02-11,91.599998,91.620003,91.599998,91.620003,82.061569,205000
2013-02-12,91.620003,91.620003,91.599998,91.620003,82.061569,195600
2013-02-13,91.620003,91.620003,91.599998,91.599998,82.043625,98300
2013-02-14,91.599998,91.620003,91.599998,91.620003,82.061569,116500
2013-02-15,91.620003,91.620003,91.599998,91.599998,82.043625,51900
2013-02-19,91.620003,91.620003,91.599998,91.599998,82.043625,89200
2013-02-20,91.620003,91.620003,91.599998,91.620003,82.061569,110450
2013-02-21,91.620003,91.620003,91.599998,91.599998,82.043625,290850
2013-02-22,91.599998,91.620003,91.599998,91.620003,82.061569,70800
2013-02-25,91.620003,91.620003,91.599998,91.599998,82.043625,125400
2013-02-26,91.599998,91.620003,91.599998,91.599998,82.043625,145250
2013-02-27,91.599998,91.620003,91.599998,91.620003,82.061569,101600
2013-02-28,91.620003,91.620003,91.599998,91.620003,82.061569,328500
2013-03-01,91.620003,91.620003,91.599998,91.620003,82.061569,67500
2013-03-04,91.599998,91.620003,91.599998,91.599998,82.043625,86700
2013-03-05,91.599998,91.620003,91.599998,91.620003,82.061569,133700
2013-03-06,91.599998,91.620003,91.599998,91.599998,82.043625,186800
2013-03-07,91.599998,91.620003,91.599998,91.620003,82.061569,58250
2013-03-08,91.620003,91.620003,91.599998,91.599998,82.043625,291400
